id,submitdate,lastpage,startlanguage,seed,startdate,datestamp,CF001,gender,gender[other],expertise,vis001[SQ001],vis001[SQ002],vis001[SQ003],vis001[SQ004],vis001[SQ005],vis001[SQ006],vis001[SQ007],vis001[SQ008],comment,NoConsent,interviewtime,groupTime7469,CF001Time,groupTime7472,genderTime,expertiseTime,groupTime7471,vis001Time,commentTime,groupTime7470,NoConsentTime,other_terms
20,2022-02-24 11:31:49,4,en,691078647,2022-02-24 11:19:35,2022-02-24 11:31:49,Y,A2,,30,engaging,provoking,a call to action,meaningful,makes me feel something,leaves a lasting impression,challenges me,satisfying,"The grammar of ""The visualization is..."" constrains the way I can express the terms, so some of my responses don't quite make grammatical senses, but I hope you get the drift.

I strongly believe aesthetics is much more than ""looks nice"", and feel that ""how it looks"" cannot be separated from ""what it does"". I like Ge Wang's description of aesthetics from his book Artful Design:

""Aesthetics is how we experience a thing —how it emotionally, intellectually, psychologically, and socially affects us. It is everything beyond the thing's function. Yet aesthetics does not usurp or live apart from functionality; instead, it gives context, meaning, and essence to a thing, making it what it is.

In the kitchen of design, aesthetics is not the spice with which you garnish the casserole of functionality: it is the casserole, the ingredients you bake into it.""",,735.77,16.68,,25.6,,,693.49,,,,,
21,2022-02-24 11:24:24,4,en,725206408,2022-02-24 11:21:46,2022-02-24 11:24:24,Y,A2,,15,Beautiful,Pretty,Good looking,Pleasurable,Nice,Aesthetic,Artistic,Lovely,,,149.34,6.63,,11.99,,,130.72,,,,,
22,2022-02-24 12:07:25,4,en,1961106576,2022-02-24 12:05:06,2022-02-24 12:07:25,Y,A2,,22,interesting,engaging,stimulating creativity,stimulating curiosity,,,,,"Memorability does not exactly fit, but it also comes to my mind and thus could be related",,139.92,10.45,,15.46,,,114.01,,,,,memorability;
23,2022-02-24 12:49:44,4,en,630116615,2022-02-24 12:44:26,2022-02-24 12:49:44,Y,A2,,40,beautiful,Ugly,A pleasure to look at,Unprofessional work by an amateur,"Looks great, but does not enable to get insight",Just eye-candy,Shows complete ignorance of human visual perception,Totally awesome,Looking forward to the next round!,,318.69,26,,22.22,,,270.47,,,,,
24,2022-02-24 14:40:11,4,en,1911125707,2022-02-24 14:21:11,2022-02-24 14:40:11,Y,A2,,15,using pleasant colors,visually cluttered,sophisticated,,,,,,,,1141.83,7.96,,11.06,,,1122.81,,,,,
25,2022-02-24 14:51:32,4,en,1907200912,2022-02-24 14:49:04,2022-02-24 14:51:32,Y,A2,,20,beautiful,harmonic,pleasing,disturbing,ugly,disharmonic,,,,,150.52,17.22,,10.48,,,122.82,,,,,
26,2022-02-24 14:55:50,4,en,2101064284,2022-02-24 14:52:41,2022-02-24 14:55:50,Y,A2,,18,beautiful,aesthetic,pretty,,,,,,,,190.93,15.43,,37.74,,,137.76,,,,,
27,2022-02-24 15:26:53,4,en,1723690160,2022-02-24 15:24:33,2022-02-24 15:26:53,Y,A2,,20,visually pleasing,visually appealling,looks very nice,aesthetically pleasing,nice to looks at,looks appealing,,,,,142.32,28.62,,15.99,,,97.71,,,,,
28,2022-02-24 16:44:39,4,en,498956837,2022-02-24 16:41:00,2022-02-24 16:44:39,Y,A2,,15,beautiful,evocative,thought-provoking,emotive,compelling,expressive,consistent,contemplative,,,220.91,17.92,,23.48,,,179.51,,,,,
29,2022-02-24 18:08:04,4,en,1581858937,2022-02-24 18:02:21,2022-02-24 18:08:04,Y,A4,,35,Beautiful,xx-is-xx has aesthetic quality,xx-is-xx gives you pleasure,xx-is-xx makes you happy,,,,,"The ""is"" makes this very challenging, likely intentional.
I can think of no better term than ""beautiful.
I would not use a Lickert scale to quantify aesthetic quality with seven ordered categories. I would use methods for analysing qualitative reactions, But good luck in your efforts to enumerate.",,344.56,43.49,,18.58,,,282.49,,,,,
