 ,Picked - 3rd round(include emotion-oriented terms/expert terms) pick terms apear twice from any source,Picked - 2nd round,Picked - 1st round,Term Category,experts' term,expert term count,VIS literature elicited terms,vis+tvcg term count,other scales term count,AttrakDiff,"Blijlevens, 2017","Lavie, 2003","Moshagen, 2010"
DOI,,,,,,,,,,https://www.kompetenzzentrum-usability.digital/kos/WNetz?art=File.download&id=1296&name=AttrakDiff_EN_UID.pdf,https://doi.org/10.1037/aca0000098,https://doi.org/10.1016/j.ijhcs.2003.09.002,https://doi.org/10.1016/j.ijhcs.2010.05.006
Applicable to,,,,,,,visualization,,,product,design artifacts,website,website
notes,37,21,19,,,,,,,,,,https://docs.google.com/document/d/1V5wbAMjunO0QngxxCieESeuM7OMXCMaMQ7YHdNmc71g/edit
aesthetic,x,x,x,aesthetic,aesthetic,15,aesthetic,20,2,,aesthetic,aesthetic,
appealing,x,x,x,aesthetic;emotion-oriented,appealing,11,appealing,5,3,repelling appealing,appealing,,appealing
artistic,x,,,aesthetic,artistic,5,,,1,,,artistic,
attractive,x,x,x,aesthetic,attractive,7,attractive,5,3,attractive,attractive,,attractively positioned;attractive;
boring,x,,,emotion-oriented,,,boring,3,3,dull,,dull,boring
balanced,x,x,similar to harmonious,aesthetic,balanced,4,,,1,,,,balanced;there are too many elements in one part of the page and too few in another
beautiful,x,x,x,aesthetic,beautiful,18,beautiful,4,2,,beautiful,beautiful,
delightful,x,,,emotion-oriented,delightful,2,,,1,,delightful,,
engaging,x,,,emotion-oriented,engaging,5,engaging,1,,,,,
enjoyable,x,,,emotion-oriented,enjoyable,1,enjoyable,1,1,,,enjoyable,
entertaining,x,,,emotion-oriented,,,entertaining,12,,,,,
exciting,x,,,emotion-oriented,,,exciting,9,2,,exciting,exciting,
fascinating,x,,,emotion-oriented,,,,,2,,fascinating,fascinating,
clean,x,x,in group with cluttered,aesthetic,clean,4,,,2,,clean,clean,
good,x,,,other,good,1,,,2,good,good,,
cluttered,x,x,x,aesthetic;cognitive-oriented,cluttered,1,cluttered,7,,,,,
color-harmonious,x,,,aesthetic,color-harmonious,2,,,,,,,
interesting,x,,,emotion-oriented,interesting,2,interesting,4,2,,interesting,,interesting;lacks interesting design details
likable,x,,,emotion-oriented,likeable,1,likable,3,2,likable,like,,
motivating,x,,,emotion-oriented,motivating,1,motivating,2,2,motivating,motivating,,
pleasing,x,,,emotion-oriented,pleasing,16,pleasing,2,4,pleasant,pleasant;pleasurable,pleasing;pleasant,a pleasant effect
professional,x,,,other,unprofessional,1,,,4,professional/unprofessional,professional,professional,professional
provoking,x,,,emotion-oriented,provoking,5,,,,,,,
satisfying,x,,,emotion-oriented,satisfying,1,satisfying,1,,,,,
sophisticated,x,,,other,sophisticated,1,,,2,,sophisticated,sophisticated,
creative,x,x,x,aesthetic,,,,,4,creative,creative,creative,creative
elegant,x,x,x,aesthetic,elegant,5,elegant,1,,,,,
harmonious,x,x,x,aesthetic,harmonious,5,,,1,,,harmonic,
inviting,x,x,x,aesthetic,,,inviting,4,2,inviting,inviting,,
lovely,x,,,aesthetic,lovely,2,,,,,,,
modern,x,x,in group with innovative,aesthetic,,,,,2,,,modern,modern;contemporary
nice,x,x,x,aesthetic,nice,5,nice,2,1,,nice,,
organized,x,x,x,aesthetic,,,,,2,,,organized,pleasantly organized
overloaded,x,x,x,aesthetic,,,,,2,,,overloaded,overloaded
pretty,x,x,x,aesthetic,pretty,3,pretty,2,1,,pretty,,
tasteful,x,x,x,aesthetic,tasteful,2,,,1,,,applies good taste,
well-designed,x,x,x,aesthetic,well-designed,4,well-designed,1,2,,designed,skilfully designed,
dynamic,would be interpreted as animated,,,emotion-oriented,,,,,2,,dynamic,,dynamic
crowded,very data depended,,in group with cluttered,aesthetic,,,,,2,,density,,crowded;too many elements
drab,"unusual term, negative term",,"unusual term, negative term",aesthetic,,,drab,1,2,,,monotonous,monotonous
high-quality,too rare,x,x,aesthetic;other,,,high quality,1,1,,confers quality,,
stylish,too rare,x,x,aesthetic,stylish,1,,,1,stylish,,,
well-proportioned,too rare,x,x,aesthetic,,,,,1,,,,well proportioned
