"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","CF001","gender","gender[other]","expertise","rate[aesthetic]","rate[appealing]","rate[artistic]","rate[attractive]","rate[balanced]","rate[beautiful]","rate[boring]","rate[clean]","rate[cluttered]","rate[colorHarmonious]","rate[creative]","rate[delightful]","rate[elegant]","rate[engaging]","rate[enjoyable]","rate[entertaining]","rate[exciting]","rate[fascinating]","rate[good]","rate[harmonious]","rate[interesting]","rate[inviting]","rate[likable]","rate[lovely]","rate[modern]","rate[motivating]","rate[nice]","rate[organized]","rate[overloaded]","rate[pleasing]","rate[pretty]","rate[professional]","rate[provoking]","rate[satisfying]","rate[sophisticated]","rate[tasteful]","rate[wellDesigned]","comment","FT001","interviewtime","groupTime7571","CF001Time","groupTime7574","genderTime","expertiseTime","groupTime7573","rateTime","commentTime","groupTime7572","FT001Time"
"2","2022-03-14 14:45:14","4","en","350974576","2022-03-14 14:40:51","2022-03-14 14:45:14","Y","A1","","12","4","5","5","3","4","5","5","5","5","4","3","2","4","5","5","5","4","5","2","4","3","4","2","2","3","4","1","4","5","4","3","4","5","3","3","4","4","","","263.51","12.83","","15.37","","","235.31","","","",""
"3","2022-03-14 15:08:33","4","en","877213406","2022-03-14 15:06:16","2022-03-14 15:08:33","Y","A2","","15","5","4","3","4","3","4","1","5","1","5","3","4","4","4","4","2","3","5","4","4","4","4","4","3","3","3","5","4","1","5","5","4","3","2","3","4","5","","","138.62","12.34","","7.1","","","119.18","","","",""
"4","2022-03-14 15:10:55","4","en","2143029095","2022-03-14 15:06:51","2022-03-14 15:10:55","Y","A4","","35.474","3","3","2","3","2","5","1","2","1","2","1","3","2","2","1","1","1","1","3","2","1","1","1","3","1","1","2","1","1","2","2","1","1","2","2","2","2","","","245.12","19.09","","115.83","","","110.2","","","",""
"5","2022-03-14 16:32:00","4","en","587964741","2022-03-14 16:20:46","2022-03-14 16:32:00","Y","A1","","10","5","5","2","5","4","5","2","2","3","4","2","3","2","2","5","1","3","1","3","4","3","3","5","3","2","1","4","3","3","5","5","1","1","4","2","3","3","There are important empirical distinctions between aesthetic preference (liking) and judgments of harmony (balance, goodness-of-fit). These notions of preference and harmony are often conflated in the literature. This confusion arises, at least in part, because on average people have general preference for harmony (shown for color, shape, and music). Yet, there are clear differences in preference and harmony at the average level (at least for color), and individuals vary widely in the degree to which they aesthetically prefer harmony.  I bring up this issue because a compressive measure of aesthetics would need to be specific about what constructs are being measured, and avoid conflating distinct constructs. ","","676.31","10.71","","34.75","","","630.85","","","",""
"6","2022-03-14 16:42:29","4","en","603824600","2022-03-14 16:27:46","2022-03-14 16:42:29","Y","A2","","30","4","5","4","5","4","5","4","3","4","4","3","5","3","4","4","3","4","4","3","4","3","4","5","5","1","3","4","2","3","5","5","3","4","4","2","2","3","I had trouble interpreting the negative terms like 'boring' or 'cluttered'. While it is clear in my mind that presence of these characteristics would undermine aesthetic pleasure, they do nevertheless correlate (negatively) with it. So wasn't sure whether to relate them as relevant or irrelevant. In the end I rated them as relevant, but there is a risk that you may get mixed interpretations of what is required here rather than necessarily mixed views on whether they are relevant.

I have also followed your requirement to judge ""aesthetic pleasure"" which I strongly believe to be different to ""aesthetic"", which might include other designs that provoke a feeling of some type. For example Hashimito's 'Every Nuclear Explosion' has a very strong aesthetic appeal but is not 'pleasurable'. I think it would be a pity if this work conflates the two.","","885.05","22.42","","19.79","","","842.84","","","",""
"7","2022-03-14 16:42:13","4","en","1686546499","2022-03-14 16:39:11","2022-03-14 16:42:13","Y","A2","","35","3","4","3","4","2","4","2","2","2","2","2","3","4","3","3","2","2","2","2","2","2","2","3","3","2","1","4","2","1","3","3","2","2","2","2","2","3","","","183.98","6.86","","13.48","","","163.64","","","",""
"8","2022-03-14 17:30:02","4","en","1824242057","2022-03-14 17:02:21","2022-03-14 17:30:02","Y","A2","","40","5","5","3","5","4","5","4","3","4","4","3","5","5","3","5","3","3","2","2","4","3","5","4","3","3","2","3","4","3","4","4","5","2","2","4","5","5","Fascinating study, I am curious for the results. You stressed to consider aesthetics only, going through the list I realized again how difficult it is to separate content and presentation.  A visualization can be good, exciting, provoking etc. because of both… I went through the list again, and found that almost terms can be applied here. But I tried to give the more aesthetic terms a higher score.

Related to this, in my lectures I also discuss aesthetics, and tell my students what I learned during courses on graphic design (I studied Industrial Design). The professionals stress one aspect: READABILITY. And, if a piece is readable (well-designed, balanced, good, professional), the aesthetics comes for free.

Furthermore, I always tell the following anecdote. A long time ago, I went to a fancy hifi-shop to buy expensive speakers. The salesperson had a great advice. If you think “what a beautiful speakers!”: don’t buy. If you think “what a beautiful music!: buy!

Success, best regards,
<Here was originally the name of the expert, which we removed to ensure anonymity.>","","1662.62","8.39","","15.74","","","1638.49","","","",""
"9","2022-03-14 19:16:17","4","en","1036695890","2022-03-14 19:14:23","2022-03-14 19:16:17","Y","A2","","30","4","4","4","3","4","3","2","4","5","4","5","4","4","4","3","3","4","3","3","2","5","4","3","2","3","5","4","4","4","4","2","5","5","4","4","2","5","","","116.14","13.46","","16.68","","","86","","","",""
"10","2022-03-15 00:16:40","4","en","627934788","2022-03-15 00:10:04","2022-03-15 00:16:40","Y","A2","","8","5","4","2","4","4","4","4","3","4","4","2","3","4","3","3","3","3","2","2","2","2","3","2","3","2","1","3","4","3","4","4","1","2","4","2","4","3","I'm hesitant to promote specific aesthetic styles like modern or artistic, since a lot is really context-dependent. I'd hope our scientific publications can be aesthetically pleasurable, for example, but I wouldn't necessarily want or expect them to be artistic.","","396.81","10.64","","10.01","","","376.16","","","",""
"11","2022-03-15 01:00:11","4","en","1423418348","2022-03-15 00:56:55","2022-03-15 01:00:11","Y","A2","","18","4","4","2","3","2","4","4","3","5","1","4","4","3","5","4","3","3","3","2","2","4","2","1","2","4","3","2","5","5","3","4","4","3","4","3","3","4","","","197.59","12.1","","9.02","","","176.47","","","",""
