vis06[appealing],vis06[artistic],vis06[attractive],vis06[balanced],vis06[beautiful],vis06[clean],vis06[cluttered],vis06[colorHarmonious],vis06[creative],vis06[delightful],vis06[elegant],vis06[engaging],vis06[enjoyable],vis06[exciting],vis06[fascinating],vis06[harmonious],vis06[interesting],vis06[inviting],vis06[likable],vis06[lovely],vis06[motivating],vis06[nice],vis06[organized],vis06[pleasing],vis06[pretty],vis06[professional],vis06[provoking],vis06[satisfying],vis06[sophisticated],vis06[tasteful],vis06[wellDesigned]
5.0,5.0,4.0,3.0,4.0,1.0,3.0,6.0,6.0,4.0,1.0,3.0,4.0,2.0,5.0,2.0,5.0,1.0,4.0,3.0,2.0,4.0,3.0,5.0,4.0,2.0,1.0,2.0,2.0,3.0,5.0
4.0,7.0,4.0,3.0,3.0,3.0,2.0,6.0,6.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,2.0
5.0,7.0,6.0,6.0,7.0,5.0,3.0,7.0,5.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0
3.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,5.0,4.0,5.0,3.0,2.0,3.0,3.0
5.0,5.0,3.0,3.0,1.0,5.0,3.0,1.0,3.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0,3.0,1.0,4.0,3.0
6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0
4.0,4.0,4.0,5.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0
4.0,6.0,3.0,3.0,3.0,2.0,1.0,4.0,6.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,6.0,3.0,6.0,5.0,3.0,5.0,1.0,4.0,6.0,2.0,3.0,3.0,2.0,6.0,3.0
3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0
6.0,6.0,6.0,5.0,6.0,5.0,1.0,7.0,6.0,4.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,3.0,4.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0
4.0,5.0,4.0,3.0,6.0,2.0,4.0,4.0,6.0,5.0,4.0,5.0,4.0,3.0,3.0,2.0,6.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0,1.0,2.0,3.0,4.0,4.0
3.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,5.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0
2.0,3.0,3.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,4.0,2.0
3.0,7.0,4.0,4.0,4.0,3.0,2.0,5.0,6.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,3.0,4.0
2.0,3.0,4.0,4.0,3.0,4.0,4.0,6.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,5.0,3.0,4.0,4.0
4.0,6.0,4.0,4.0,5.0,3.0,2.0,6.0,6.0,5.0,3.0,4.0,6.0,6.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,2.0
4.0,7.0,3.0,2.0,3.0,1.0,2.0,3.0,6.0,5.0,3.0,4.0,6.0,5.0,6.0,3.0,7.0,4.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,3.0,2.0,6.0,4.0,4.0,2.0
4.0,7.0,4.0,5.0,5.0,3.0,1.0,6.0,7.0,5.0,3.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,4.0,5.0,3.0,4.0,5.0,6.0,6.0,5.0,5.0,4.0,7.0
5.0,5.0,5.0,3.0,5.0,2.0,3.0,5.0,5.0,4.0,2.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,2.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,2.0
6.0,6.0,7.0,3.0,5.0,4.0,4.0,6.0,6.0,7.0,4.0,7.0,6.0,6.0,6.0,4.0,7.0,6.0,6.0,5.0,4.0,7.0,2.0,6.0,6.0,5.0,5.0,6.0,6.0,4.0,4.0
5.0,5.0,4.0,4.0,6.0,5.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,4.0,4.0,5.0,7.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,6.0,5.0,4.0,6.0
6.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,6.0,5.0,6.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,1.0,5.0,1.0,3.0,5.0
3.0,5.0,5.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
5.0,7.0,5.0,3.0,5.0,3.0,2.0,2.0,7.0,5.0,2.0,6.0,6.0,5.0,5.0,3.0,5.0,5.0,6.0,4.0,4.0,5.0,3.0,5.0,6.0,3.0,2.0,3.0,3.0,2.0,3.0
5.0,5.0,5.0,5.0,5.0,4.0,2.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,2.0,5.0,6.0,5.0,6.0
6.0,6.0,5.0,6.0,5.0,3.0,2.0,7.0,6.0,4.0,5.0,6.0,6.0,5.0,4.0,5.0,6.0,6.0,7.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,3.0,6.0,6.0
2.0,6.0,5.0,5.0,5.0,6.0,1.0,5.0,4.0,5.0,3.0,5.0,6.0,2.0,5.0,4.0,6.0,1.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,6.0,3.0,5.0,5.0,5.0,6.0
