,Load on ... (>0.5),PA1,PA2,h2,u2,com
vis02.balanced.,1,0.72,0.14,0.54,0.46,1.1
vis02.clean.,1,0.78,0.19,0.64,0.36,1.1
vis02.colorHarmonious.,1,0.68,0.14,0.48,0.52,1.1
vis02.harmonious.,1,0.68,0.28,0.54,0.46,1.3
vis02.likable.,1,0.71,0.38,0.65,0.35,1.5
vis02.nice.,1,0.76,0.37,0.71,0.29,1.4
vis02.organized.,1,0.8,0.05,0.64,0.36,1
vis02.pleasing.,1,0.67,0.45,0.66,0.34,1.8
vis02.professional.,1,0.74,0.17,0.58,0.42,1.1
vis02.satisfying.,1,0.61,0.42,0.55,0.45,1.8
vis02.tasteful.,1,0.58,0.32,0.43,0.57,1.6
vis02.wellDesigned.,1,0.68,0.3,0.56,0.44,1.4
vis02.artistic.,2,0.06,0.68,0.47,0.53,1
vis02.beautiful.,2,0.46,0.63,0.62,0.38,1.8
vis02.creative.,2,0.06,0.67,0.45,0.55,1
vis02.delightful.,2,0.4,0.66,0.61,0.39,1.7
vis02.engaging.,2,0.41,0.6,0.53,0.47,1.8
vis02.exciting.,2,0.21,0.79,0.66,0.34,1.1
vis02.fascinating.,2,0.22,0.74,0.59,0.41,1.2
vis02.interesting.,2,0.48,0.52,0.5,0.5,2
vis02.inviting.,2,0.42,0.64,0.59,0.41,1.7
vis02.lovely.,2,0.48,0.59,0.58,0.42,1.9
vis02.motivating.,2,0.26,0.69,0.54,0.46,1.3
vis02.sophisticated.,2,0.31,0.6,0.46,0.54,1.5
vis02.appealing.,both,0.61,0.52,0.64,0.36,1.9
vis02.attractive.,both,0.58,0.52,0.6,0.4,2
vis02.elegant.,both,0.52,0.56,0.58,0.42,2
vis02.enjoyable.,both,0.59,0.51,0.61,0.39,2
vis02.pretty.,both,0.54,0.53,0.57,0.43,2
vis02.cluttered.,neither,-0.46,0.02,0.22,0.78,1
vis02.provoking.,neither,-0.06,0.37,0.14,0.86,1
