"terms"	"PA1"	"h2"	"u2"	"com"
"appealing"	0.88	0.78	0.22	1
"artistic"	0.55	0.3	0.7	1
"attractive"	0.86	0.73	0.27	1
"balanced"	0.68	0.46	0.54	1
"beautiful"	0.78	0.62	0.38	1
"clean"	0.63	0.39	0.61	1
"cluttered"	0.12	0.01	0.99	1
"colorHarmonious"	0.43	0.18	0.82	1
"creative"	0.58	0.33	0.67	1
"delightful"	0.89	0.79	0.21	1
"elegant"	0.78	0.62	0.38	1
"engaging"	0.8	0.65	0.35	1
"enjoyable"	0.83	0.7	0.3	1
"exciting"	0.79	0.62	0.38	1
"fascinating"	0.76	0.58	0.42	1
"harmonious"	0.76	0.58	0.42	1
"interesting"	0.74	0.54	0.46	1
"inviting"	0.84	0.7	0.3	1
"likable"	0.87	0.76	0.24	1
"lovely"	0.83	0.68	0.32	1
"motivating"	0.83	0.69	0.31	1
"nice"	0.89	0.79	0.21	1
"organized"	0.65	0.43	0.57	1
"pleasing"	0.87	0.76	0.24	1
"pretty"	0.83	0.68	0.32	1
"professional"	0.67	0.46	0.54	1
"provoking"	0.22	0.05	0.95	1
"satisfying"	0.85	0.73	0.27	1
"sophisticated"	0.71	0.5	0.5	1
"tasteful"	0.81	0.66	0.34	1
"wellDesigned"	0.81	0.65	0.35	1
