"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.53	0.32	0.64	0.36	1.6
"artistic"	0.63	-0.09	0.32	0.68	1
"attractive"	0.76	0.1	0.7	0.3	1
"balanced"	-0.16	0.86	0.56	0.44	1.1
"beautiful"	0.82	-0.02	0.65	0.35	1
"clean"	0.06	0.73	0.6	0.4	1
"cluttered"	0.06	-0.03	0	1	1.4
"colorHarmonious"	0.54	0.13	0.41	0.59	1.1
"creative"	0.83	-0.26	0.45	0.55	1.2
"delightful"	0.7	0.12	0.63	0.37	1.1
"elegant"	0.53	0.23	0.5	0.5	1.4
"engaging"	0.28	0.55	0.6	0.4	1.5
"enjoyable"	0.5	0.39	0.69	0.31	1.9
"exciting"	0.57	0.2	0.53	0.47	1.2
"fascinating"	0.67	0.11	0.57	0.43	1
"harmonious"	0.33	0.49	0.59	0.41	1.8
"interesting"	0.73	0.02	0.56	0.44	1
"inviting"	0.19	0.59	0.55	0.45	1.2
"likable"	0.54	0.4	0.77	0.23	1.8
"lovely"	0.7	0.13	0.63	0.37	1.1
"motivating"	0.33	0.44	0.52	0.48	1.9
"nice"	0.43	0.44	0.65	0.35	2
"organized"	-0.27	0.99	0.66	0.34	1.1
"pleasing"	0.53	0.37	0.7	0.3	1.8
"pretty"	0.82	0	0.67	0.33	1
"professional"	-0.22	0.81	0.45	0.55	1.1
"provoking"	0.17	0.06	0.05	0.95	1.2
"satisfying"	0.51	0.32	0.59	0.41	1.7
"sophisticated"	0.31	0.37	0.39	0.61	1.9
"tasteful"	0.61	0.12	0.49	0.51	1.1
"wellDesigned"	-0.09	0.84	0.61	0.39	1
