"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.67	0.57	18.88	0.22	1.96
"artistic"	0.71	0.03	18.88	0.49	1
"attractive"	0.66	0.54	18.88	0.27	1.92
"balanced"	0.24	0.77	18.88	0.35	1.2
"beautiful"	0.7	0.39	18.88	0.36	1.57
"clean"	0.22	0.72	18.88	0.44	1.18
"cluttered"	0.04	0.14	18.88	0.98	1.19
"colorHarmonious"	0.31	0.29	18.88	0.82	1.99
"creative"	0.65	0.13	18.88	0.56	1.08
"delightful"	0.67	0.59	18.88	0.21	1.97
"elegant"	0.56	0.55	18.88	0.38	2
"engaging"	0.62	0.51	18.88	0.36	1.94
"enjoyable"	0.66	0.51	18.88	0.3	1.89
"exciting"	0.73	0.36	18.88	0.34	1.46
"fascinating"	0.74	0.3	18.88	0.36	1.33
"harmonious"	0.42	0.69	18.88	0.35	1.64
"interesting"	0.7	0.32	18.88	0.41	1.4
"inviting"	0.56	0.64	18.88	0.28	1.96
"likable"	0.65	0.58	18.88	0.24	1.98
"lovely"	0.72	0.42	18.88	0.29	1.61
"motivating"	0.64	0.53	18.88	0.31	1.94
"nice"	0.72	0.53	18.88	0.2	1.83
"organized"	0.19	0.79	18.88	0.34	1.12
"pleasing"	0.7	0.52	18.88	0.24	1.84
"pretty"	0.79	0.35	18.88	0.25	1.37
"professional"	0.32	0.66	18.88	0.46	1.45
"provoking"	0.2	0.11	18.88	0.95	1.54
"satisfying"	0.67	0.53	18.88	0.27	1.9
"sophisticated"	0.57	0.42	18.88	0.5	1.83
"tasteful"	0.59	0.56	18.88	0.34	1.99
"wellDesigned"	0.43	0.75	18.88	0.26	1.59
