"terms"	"PA1 Image  1"	"PA1 Image  2"	"PA1 Image  3"	"PA1 Image  4"	"PA1 Image  5"	"PA1 Image  6"	"PA1 Image  7"	"PA1 Image  8"	"PA1 Image  9"	"PA1 Image  10"	"PA1 Image  11"	"PA1 Image  12"	"PA1 Image  13"	"PA1 Image  14"	"PA1 Image  15"
"appealing"	0.847759484458913	0.80242159268206	0.798375324995541	0.843335015170564	0.866158850871371	0.828634694384949	0.875620835010209	0.850785286262489	0.848798581738482	0.878424306966804	0.851488772949543	0.875123993297138	0.881725528643258	0.825250470996839	0.901476507556432
"attractive"	0.841008224868719	0.775451722436243	0.81135486524499	0.810961283118807	0.861977575144314	0.868917948030432	0.891805436071237	0.838461807774048	0.844941834794346	0.856278241809623	0.845424337883776	0.871269340290222	0.855484153747726	0.841794519474416	0.849784025860617
"beautiful"	0.841103300132091	0.76600358576123	0.758855631850036	0.790908078337278	0.835342298046408	0.775380155634301	0.872440104408496	0.808342110368083	0.756181123863897	0.823284061606649	0.847536196891595	0.854501430211477	0.784297206282022	0.815762137474017	0.838664977498454
"delightful"	0.85514226592231	0.743399310466164	0.775262269037146	0.846048465547181	0.82983831413467	0.811214413438859	0.887202769558043	0.817621477439138	0.789507821529802	0.818406435988567	0.858901525160746	0.87552522898144	0.889911935340886	0.838948515806636	0.883682724626719
"enjoyable"	0.874002143991763	0.780120398433093	0.833926236438319	0.860925423487846	0.863588177728686	0.837927905412723	0.883782027730738	0.871626601251916	0.844605312668212	0.868694793508937	0.853345231083117	0.879067694708494	0.834515508946697	0.852592572188091	0.888139879699533
"inviting"	0.833364536063781	0.735560641838197	0.713294557409016	0.731177463877968	0.821878772521753	0.799190490327076	0.838708553685506	0.851079248286988	0.78366132996411	0.782751338934308	0.834228848617175	0.775033021685393	0.837824398571564	0.757715171394003	0.828605786290425
"likable"	0.905777769298083	0.786615996515198	0.877446251632847	0.867446466077332	0.86385172322578	0.840400067714656	0.89808094094049	0.878463784010942	0.843155000438665	0.857744156086478	0.848986846802174	0.886358636619028	0.871347732126099	0.871010898351259	0.890941690299715
"lovely"	0.845891846878062	0.748380161702731	0.775608631364073	0.818725205521091	0.798383894393736	0.768190053274573	0.832658570674007	0.811383041586869	0.737807121712867	0.813025061426113	0.855579672593912	0.857929586393719	0.826240998740897	0.79435588471292	0.825971082180426
"nice"	0.904589018151847	0.808336474092323	0.806712414070115	0.822534590824129	0.87496854707315	0.82913444256578	0.87164012978974	0.869281785205466	0.811735920900515	0.847401019211398	0.841649849250531	0.820169909383054	0.891566969383552	0.823107705815477	0.891672577088154
"pleasing"	0.849255719724002	0.803464147372295	0.836000477755134	0.879881257759557	0.889749183983392	0.873720421935649	0.896214733283573	0.84485124340629	0.803858972546419	0.877636005845569	0.869357044123731	0.881368462872391	0.871021401370389	0.844812952732454	0.878331910169757
"pretty"	0.846166767570728	0.75581809953981	0.773917558502235	0.778856471491868	0.80740511035775	0.810449360863783	0.879105925898547	0.791202602480791	0.759111632031558	0.801096354878773	0.835433755822757	0.848297273040675	0.825300041739973	0.861550989123728	0.852016971434212
"satisfying"	0.772902960543831	0.734754534771166	0.768409568799116	0.834406513616364	0.851303281381886	0.8033767985434	0.901634664759422	0.804961693177694	0.824286808123183	0.846853906460521	0.855259687232459	0.873225915022556	0.853538470281372	0.811465619588884	0.839878986378085
