"terms"	"PA1 Image  1"	"PA1 Image  2"	"PA1 Image  3"	"PA1 Image  4"	"PA1 Image  5"	"PA1 Image  6"	"PA1 Image  7"	"PA1 Image  8"	"PA1 Image  9"	"PA1 Image  10"	"PA1 Image  11"	"PA1 Image  12"	"PA1 Image  13"	"PA1 Image  14"	"PA1 Image  15"
"appealing"	0.847759484458913	0.80242159268206	0.798375324995541	0.843335015170564	0.866158850871371	0.828634694384949	0.875620835010209	0.850785286262489	0.848798581738482	0.878424306966804	0.851488772949543	0.875123993297138	0.881725528643258	0.825250470996839	0.901476507556432
"artistic"	0.517368357331892	0.490967507131644	0.508923562195382	0.589065404875143	0.657275571134608	0.628119967013715	0.686448686299977	0.611343337912918	0.562856213013913	0.662537840555375	0.644725470286035	0.693766950295795	0.551642002906576	0.578868256954034	0.665408637856427
"attractive"	0.841008224868719	0.775451722436243	0.81135486524499	0.810961283118807	0.861977575144314	0.868917948030432	0.891805436071237	0.838461807774048	0.844941834794346	0.856278241809623	0.845424337883776	0.871269340290222	0.855484153747726	0.841794519474416	0.849784025860617
"balanced"	0.692899586758539	0.627772777888472	0.613526596265066	0.734059966294544	0.714332195421291	0.69490999788777	0.586595120257979	0.701683170173199	0.6469277742287	0.773902696719824	0.736599319688626	0.662792508136071	0.680600572066544	0.712805638027233	0.737004225538199
"beautiful"	0.841103300132091	0.76600358576123	0.758855631850036	0.790908078337278	0.835342298046408	0.775380155634301	0.872440104408496	0.808342110368083	0.756181123863897	0.823284061606649	0.847536196891595	0.854501430211477	0.784297206282022	0.815762137474017	0.838664977498454
"clean"	0.726101336284229	0.695574134183603	0.711742216863974	0.642644141636045	0.699007270156535	0.602224573013072	0.657352442439877	0.695208401233017	0.599482563063113	0.676672525179106	0.710064954919492	0.707581407446436	0.62563409031489	0.733221813698561	0.66985886745022
"cluttered"	0.304375100813732	-0.328392705114771	0.0322688136627313	0.149855953971686	0.387241543901956	0.181183635533553	0.268403495913229	0.336460588358064	0.406855480872761	0.445961261634524	0.207901130588312	-0.0500593025285902	0.120856324578976	0.0456440496994833	0.236382862363731
"colorHarmonious"	0.653590686944242	0.590538821347698	0.632736390458116	0.634683675069602	0.636402380940848	0.628791425690633	0.476491078440392	0.549591656591831	0.433973749176176	0.61555205733549	0.506787928444751	0.618849554109165	0.428638974724758	0.642873895795966	0.63703533495435
"creative"	0.532822850016724	0.489923065361539	0.552851671706653	0.601580039651483	0.671049463858611	0.621156291075398	0.655603468555084	0.695820084914653	0.624544398410436	0.680847838003404	0.651118703787916	0.643322248589819	0.577082664734115	0.54224497224976	0.64650140657204
"delightful"	0.85514226592231	0.743399310466164	0.775262269037146	0.846048465547181	0.82983831413467	0.811214413438859	0.887202769558043	0.817621477439138	0.789507821529802	0.818406435988567	0.858901525160746	0.87552522898144	0.889911935340886	0.838948515806636	0.883682724626719
"elegant"	0.834272085590435	0.756439767180365	0.707172375664143	0.777391889370642	0.73748185640777	0.676222595509302	0.831441748225674	0.686852422236898	0.710106035739454	0.841021370117541	0.755821562059906	0.803350891270257	0.784710463501754	0.74063336562206	0.795305751003948
"engaging"	0.789936363873049	0.699780469313791	0.760797743527471	0.74392717544795	0.783154701888785	0.777053180165172	0.820744588491698	0.831752209957792	0.735681309815667	0.760069591758385	0.793437827527018	0.765786446796146	0.803870958333652	0.734381446421936	0.80464700685283
"enjoyable"	0.874002143991763	0.780120398433093	0.833926236438319	0.860925423487846	0.863588177728686	0.837927905412723	0.883782027730738	0.871626601251916	0.844605312668212	0.868694793508937	0.853345231083117	0.879067694708494	0.834515508946697	0.852592572188091	0.888139879699533
"exciting"	0.790275142901501	0.663329411365836	0.724983898809308	0.76266441471794	0.814453367782831	0.757646493321655	0.810556033552009	0.770964594385152	0.697793354019381	0.765295826226179	0.821217419017847	0.770636427096562	0.785548392496702	0.753096350634186	0.788756551685089
"fascinating"	0.676652627113846	0.64270643331569	0.733314336725101	0.766828923967087	0.697167618933177	0.720183160710894	0.804603780174347	0.709336740260975	0.716292950393895	0.660455685861324	0.728618851283583	0.77348589003263	0.758983002047116	0.700593978630678	0.707728055488331
"harmonious"	0.787773512788957	0.690606394107229	0.760553704847155	0.747779292382526	0.821330544489304	0.744039480523678	0.741507572817987	0.742326492046807	0.692146599463019	0.798805427557321	0.771875415104633	0.797229260416602	0.762592058516156	0.754910624305393	0.807624438735207
"interesting"	0.703395271421417	0.703075823937632	0.708815890786695	0.737293424997177	0.759729023058624	0.713219875193087	0.725997555334916	0.742570313802037	0.608324973209199	0.64217250921497	0.699717063517045	0.728655124441224	0.736800447342381	0.586548058304393	0.737084300566932
"inviting"	0.833364536063781	0.735560641838197	0.713294557409016	0.731177463877968	0.821878772521753	0.799190490327076	0.838708553685506	0.851079248286988	0.78366132996411	0.782751338934308	0.834228848617175	0.775033021685393	0.837824398571564	0.757715171394003	0.828605786290425
"likable"	0.905777769298083	0.786615996515198	0.877446251632847	0.867446466077332	0.86385172322578	0.840400067714656	0.89808094094049	0.878463784010942	0.843155000438665	0.857744156086478	0.848986846802174	0.886358636619028	0.871347732126099	0.871010898351259	0.890941690299715
"lovely"	0.845891846878062	0.748380161702731	0.775608631364073	0.818725205521091	0.798383894393736	0.768190053274573	0.832658570674007	0.811383041586869	0.737807121712867	0.813025061426113	0.855579672593912	0.857929586393719	0.826240998740897	0.79435588471292	0.825971082180426
"motivating"	0.740982853762861	0.650788622497802	0.714900224181049	0.766361179313983	0.827814062710224	0.781737054113161	0.840148757140966	0.746847137944745	0.751461154016675	0.771671309233245	0.784277653554184	0.713925330726778	0.830540637755322	0.76222568498104	0.766537357324443
"nice"	0.904589018151847	0.808336474092323	0.806712414070115	0.822534590824129	0.87496854707315	0.82913444256578	0.87164012978974	0.869281785205466	0.811735920900515	0.847401019211398	0.841649849250531	0.820169909383054	0.891566969383552	0.823107705815477	0.891672577088154
"organized"	0.590121022695101	0.61479735727492	0.619671842113137	0.735627039152367	0.673720474526422	0.587457136373488	0.550968341308231	0.597153399116755	0.589026803595591	0.658285972738958	0.639560382317122	0.656985286205867	0.65439857486685	0.624562108303816	0.65305593620474
"pleasing"	0.849255719724002	0.803464147372295	0.836000477755134	0.879881257759557	0.889749183983392	0.873720421935649	0.896214733283573	0.84485124340629	0.803858972546419	0.877636005845569	0.869357044123731	0.881368462872391	0.871021401370389	0.844812952732454	0.878331910169757
"pretty"	0.846166767570728	0.75581809953981	0.773917558502235	0.778856471491868	0.80740511035775	0.810449360863783	0.879105925898547	0.791202602480791	0.759111632031558	0.801096354878773	0.835433755822757	0.848297273040675	0.825300041739973	0.861550989123728	0.852016971434212
"professional"	0.632473317574158	0.670848084402952	0.517213884146075	0.611429767806964	0.618269692192196	0.530957074416675	0.596161510895175	0.457350398573881	0.501126997620702	0.612612617867739	0.522215282192022	0.67411026333855	0.674604514409704	0.620047115343759	0.59609916114377
"provoking"	0.169048759202516	0.19840862543734	0.217180907972246	0.284019393690918	0.280863479087277	0.328729377325917	0.192092392020857	0.371235783605337	0.317884695664785	0.274469463130553	0.4024666841308	0.324375317610595	0.22076071419259	0.221912829181791	0.354310692027327
"satisfying"	0.772902960543831	0.734754534771166	0.768409568799116	0.834406513616364	0.851303281381886	0.8033767985434	0.901634664759422	0.804961693177694	0.824286808123183	0.846853906460521	0.855259687232459	0.873225915022556	0.853538470281372	0.811465619588884	0.839878986378085
"sophisticated"	0.68314002052814	0.625329863197871	0.622081950219552	0.634920711745931	0.606603403805197	0.624618318766641	0.726991710384017	0.65402961544759	0.655644835697111	0.628303905633762	0.63118837411617	0.751136972654547	0.708927922684998	0.709273350052278	0.707099054948022
"tasteful"	0.784451144456128	0.643589663100674	0.682974718786	0.719399206334726	0.766426103237348	0.781972994647282	0.80108873955379	0.807902781108888	0.805667338738749	0.801370652593018	0.817964223811501	0.758316908609389	0.814176301507175	0.771009715761405	0.827166515828775
"wellDesigned"	0.760216343497157	0.706525911910362	0.667963421021421	0.767666727060349	0.810476309962852	0.730593255032903	0.686292651692835	0.707686031774971	0.727911511543527	0.739244634052019	0.755970834721637	0.814771583435367	0.808067273681037	0.655476010420222	0.762818626405418
